,top,bottom,left,right
0,1837,1937,2637,2737
1,1557,1657,3389,3489
2,1437,1537,3197,3297
3,1833,1933,2665,2765
4,1429,1529,3229,3329
5,657,757,1809,1909
6,605,705,1797,1897
7,525,625,677,777
8,509,609,2309,2409
