,top,bottom,left,right
0,2037,2137,141,241
1,1965,2065,2933,3033
2,1837,1937,2637,2737
3,1837,1937,1877,1977
4,1557,1657,3389,3489
5,1477,1577,2813,2913
6,1437,1537,3197,3297
7,709,809,2957,3057
8,1833,1933,2665,2765
9,1837,1937,1861,1961
10,1821,1921,1909,2009
11,1709,1809,2317,2417
12,1549,1649,2725,2825
13,1485,1585,901,1001
14,1469,1569,2805,2905
15,1429,1529,3229,3329
16,1429,1529,909,1009
17,917,1017,2501,2601
18,901,1001,1517,1617
19,865,965,1801,1901
20,717,817,2973,3073
21,657,757,1809,1909
22,605,705,1797,1897
23,605,705,1301,1401
24,565,665,1589,1689
25,525,625,677,777
26,509,609,2309,2409
27,430,530,1660,1760
28,201,301,1297,1397
29,190,290,84,184
30,62,162,3604,3704
31,53,153,1973,2073
