,top,bottom,left,right
0,1821,1921,3157,3257
1,1709,1809,2549,2649
2,1517,1617,3669,3769
3,1229,1329,1445,1545
4,1693,1793,2581,2681
5,1237,1337,1445,1545
6,1125,1225,2321,2421
7,969,1069,2441,2541
8,765,865,1181,1281
9,445,545,2757,2857
10,381,481,2709,2809
