,cut_number,y,x
0,0,1866,3214
1,0,1866,3215
2,0,1866,3216
3,0,1866,3217
4,0,1867,3214
5,0,1867,3215
6,0,1867,3216
7,0,1867,3217
8,0,1868,3212
9,0,1868,3213
10,0,1868,3214
11,0,1868,3215
12,0,1868,3216
13,0,1868,3217
14,0,1868,3218
15,0,1868,3219
16,0,1869,3212
17,0,1869,3213
18,0,1869,3214
19,0,1869,3215
20,0,1869,3216
21,0,1869,3217
22,0,1869,3218
23,0,1869,3219
24,0,1870,3212
25,0,1870,3213
26,0,1870,3214
27,0,1870,3215
28,0,1870,3216
29,0,1870,3217
30,0,1870,3218
31,0,1870,3219
32,0,1871,3212
33,0,1871,3213
34,0,1871,3214
35,0,1871,3215
36,0,1871,3216
37,0,1871,3217
38,0,1871,3218
39,0,1871,3219
40,0,1872,3212
41,0,1872,3213
42,0,1872,3214
43,0,1872,3215
44,0,1872,3216
45,0,1872,3217
46,0,1872,3218
47,0,1872,3219
48,0,1873,3212
49,0,1873,3213
50,0,1873,3214
51,0,1873,3215
52,0,1873,3216
53,0,1873,3217
54,0,1873,3218
55,0,1873,3219
56,0,1874,3212
57,0,1874,3213
58,0,1874,3214
59,0,1874,3215
60,0,1874,3216
61,0,1874,3217
62,0,1874,3218
63,0,1874,3219
64,0,1875,3212
65,0,1875,3213
66,0,1875,3214
67,0,1875,3215
68,0,1875,3216
69,0,1875,3217
70,0,1875,3218
71,0,1875,3219
72,0,1876,3214
73,0,1876,3215
74,0,1876,3216
75,0,1876,3217
76,0,1877,3214
77,0,1877,3215
78,0,1877,3216
79,0,1877,3217
80,1,1752,2598
81,1,1752,2599
82,1,1752,2600
83,1,1752,2601
84,1,1752,2602
85,1,1752,2603
86,1,1752,2604
87,1,1752,2605
88,1,1753,2598
89,1,1753,2599
90,1,1753,2600
91,1,1753,2601
92,1,1753,2602
93,1,1753,2603
94,1,1753,2604
95,1,1753,2605
96,1,1754,2596
97,1,1754,2597
98,1,1754,2598
99,1,1754,2599
100,1,1754,2600
101,1,1754,2601
102,1,1754,2602
103,1,1754,2603
104,1,1754,2604
105,1,1754,2605
106,1,1754,2606
107,1,1754,2607
108,1,1755,2596
109,1,1755,2597
110,1,1755,2598
111,1,1755,2599
112,1,1755,2600
113,1,1755,2601
114,1,1755,2602
115,1,1755,2603
116,1,1755,2604
117,1,1755,2605
118,1,1755,2606
119,1,1755,2607
120,1,1756,2596
121,1,1756,2597
122,1,1756,2598
123,1,1756,2599
124,1,1756,2600
125,1,1756,2601
126,1,1756,2602
127,1,1756,2603
128,1,1756,2604
129,1,1756,2605
130,1,1756,2606
131,1,1756,2607
132,1,1757,2596
133,1,1757,2597
134,1,1757,2598
135,1,1757,2599
136,1,1757,2600
137,1,1757,2601
138,1,1757,2602
139,1,1757,2603
140,1,1757,2604
141,1,1757,2605
142,1,1757,2606
