,top,bottom,left,right
0,2021,2121,3053,3153
1,1421,1521,3429,3529
2,1181,1281,1861,1961
3,285,385,1157,1257
4,285,385,717,817
5,2021,2121,3045,3145
6,1693,1793,189,289
7,1445,1545,1469,1569
8,1189,1289,1869,1969
9,1061,1161,2861,2961
10,337,437,2477,2577
11,173,273,337,437
