,cut_number,y,x
0,0,1304,2590
1,0,1304,2591
2,0,1304,2592
3,0,1304,2593
4,0,1305,2590
5,0,1305,2591
6,0,1305,2592
7,0,1305,2593
8,0,1306,2586
9,0,1306,2587
10,0,1306,2588
11,0,1306,2589
12,0,1306,2590
13,0,1306,2591
14,0,1306,2592
15,0,1306,2593
16,0,1306,2594
17,0,1306,2595
18,0,1306,2596
19,0,1306,2597
20,0,1307,2586
21,0,1307,2587
22,0,1307,2588
23,0,1307,2589
24,0,1307,2590
25,0,1307,2591
26,0,1307,2592
27,0,1307,2593
28,0,1307,2594
29,0,1307,2595
30,0,1307,2596
31,0,1307,2597
32,0,1308,2584
33,0,1308,2585
34,0,1308,2586
35,0,1308,2587
36,0,1308,2588
37,0,1308,2589
38,0,1308,2590
39,0,1308,2591
40,0,1308,2592
41,0,1308,2593
42,0,1308,2594
43,0,1308,2595
44,0,1308,2596
45,0,1308,2597
46,0,1308,2598
47,0,1308,2599
48,0,1309,2584
49,0,1309,2585
50,0,1309,2586
51,0,1309,2587
52,0,1309,2588
53,0,1309,2589
54,0,1309,2590
55,0,1309,2591
56,0,1309,2592
57,0,1309,2593
58,0,1309,2594
59,0,1309,2595
60,0,1309,2596
61,0,1309,2597
62,0,1309,2598
63,0,1309,2599
64,0,1310,2584
65,0,1310,2585
66,0,1310,2586
67,0,1310,2587
68,0,1310,2588
69,0,1310,2589
70,0,1310,2590
71,0,1310,2591
72,0,1310,2592
73,0,1310,2593
74,0,1310,2594
75,0,1310,2595
76,0,1310,2596
77,0,1310,2597
78,0,1310,2598
79,0,1310,2599
80,0,1311,2584
81,0,1311,2585
82,0,1311,2586
83,0,1311,2587
84,0,1311,2588
85,0,1311,2589
86,0,1311,2590
87,0,1311,2591
88,0,1311,2592
89,0,1311,2593
90,0,1311,2594
91,0,1311,2595
92,0,1311,2596
93,0,1311,2597
94,0,1311,2598
95,0,1311,2599
96,0,1312,2584
97,0,1312,2585
98,0,1312,2586
99,0,1312,2587
100,0,1312,2588
101,0,1312,2589
102,0,1312,2590
103,0,1312,2591
104,0,1312,2592
105,0,1312,2593
106,0,1312,2594
107,0,1312,2595
108,0,1312,2596
109,0,1312,2597
110,0,1312,2598
111,0,1312,2599
112,0,1312,2600
113,0,1312,2601
114,0,1313,2584
115,0,1313,2585
116,0,1313,2586
117,0,1313,2587
118,0,1313,2588
119,0,1313,2589
120,0,1313,2590
121,0,1313,2591
122,0,1313,2592
123,0,1313,2593
124,0,1313,2594
