,top,bottom,left,right
0,1261,1361,2541,2641
1,1053,1153,3421,3521
2,805,905,1365,1465
3,753,853,2129,2229
4,1765,1865,3613,3713
5,1425,1525,1913,2013
6,1261,1361,2533,2633
7,1085,1185,3417,3517
8,781,881,2117,2217
