,top,bottom,left,right
0,1957,2057,3669,3769
1,1821,1921,3157,3257
2,1709,1809,2549,2649
3,1517,1617,3669,3769
4,1277,1377,3365,3465
5,1229,1329,1445,1545
6,573,673,1525,1625
7,509,609,1725,1825
8,404,504,1902,2002
9,2093,2193,933,1033
10,1829,1929,3149,3249
11,1693,1793,2581,2681
12,1581,1681,1113,1213
13,1533,1633,1181,1281
14,1461,1561,725,825
15,1461,1561,0,55
16,1373,1473,2245,2345
17,1237,1337,1445,1545
18,1229,1329,1645,1745
19,1201,1301,3385,3485
20,1125,1225,2321,2421
21,1117,1217,2509,2609
22,1073,1173,677,777
23,1004,1104,2356,2456
24,969,1069,2441,2541
25,837,937,2501,2601
26,777,877,1813,1913
27,765,865,1181,1281
28,693,793,1293,1393
29,645,745,1877,1977
30,641,741,1677,1777
31,637,737,1389,1489
32,605,705,2173,2273
33,581,681,1381,1481
34,573,673,1677,1777
35,545,645,537,637
36,529,629,1689,1789
37,509,609,2021,2121
38,505,605,1961,2061
39,501,601,1517,1617
40,473,573,2237,2337
41,477,577,1605,1705
42,445,545,2757,2857
43,405,505,1901,2001
44,389,489,1997,2097
45,381,481,2709,2809
46,325,425,1829,1929
47,313,413,1961,2061
48,273,373,3779,3879
49,197,297,0,73
50,81,181,1329,1429
51,69,169,3213,3313
52,41,141,0,61
53,0,65,2341,2441
